stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00067,315177507,2,0,round,0,none,0,2,stripes,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.943384073675,885.3106495290108,62681,62681,288.94147542121505,274.46580171773417,288.94147542121505,274.46580171773417,svg/microbe_00067.svg,png/microbe_00067.png,masks/body/microbe_00067.png,masks/object/microbe_00067.png
microbe_00068,1142920409,3,0,round,0,none,0,2,stripes,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.943384066224,886.6777367187356,62690,62690,294.7451380784277,269.57585076780225,294.7451380784277,269.57585076780225,svg/microbe_00068.svg,png/microbe_00068.png,masks/body/microbe_00068.png,masks/object/microbe_00068.png
microbe_00069,1133388616,0,0,round,0,none,0,2,stripes,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00069.svg,png/microbe_00069.png,masks/body/microbe_00069.png,masks/object/microbe_00069.png
microbe_00070,318706082,1,0,round,0,none,0,2,stripes,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.94338406995,885.7784114300596,62668,62668,288.53355317680933,275.6661901941726,288.53355317680933,275.6661901941726,svg/microbe_00070.svg,png/microbe_00070.png,masks/body/microbe_00070.png,masks/object/microbe_00070.png
microbe_00071,1937969096,2,0,round,0,none,0,2,stripes,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.9433840625,885.1790286482403,62682,62682,288.16735271960175,275.08667401912453,288.16735271960175,275.08667401912453,svg/microbe_00071.svg,png/microbe_00071.png,masks/body/microbe_00071.png,masks/object/microbe_00071.png
microbe_00072,281416924,3,0,round,0,none,0,2,stripes,7,magenta,320,48.0,60.0,183,122,199,0.28109868110024566,62280.943384066224,884.795559815971,62667,62667,284.2844690410802,278.6608736299861,284.2844690410802,278.6608736299861,svg/microbe_00072.svg,png/microbe_00072.png,masks/body/microbe_00072.png,masks/object/microbe_00072.png
microbe_00073,115725843,0,0,round,0,none,0,3,waves,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00073.svg,png/microbe_00073.png,masks/body/microbe_00073.png,masks/object/microbe_00073.png
microbe_00074,1194315740,1,0,round,0,none,0,3,waves,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338405877,885.7016901317304,62689,62689,292.5514733439084,270.69569148880555,292.5514733439084,270.69569148880555,svg/microbe_00074.svg,png/microbe_00074.png,masks/body/microbe_00074.png,masks/object/microbe_00074.png
microbe_00075,907942662,2,0,round,0,none,0,3,waves,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338405877,885.0416416878277,62687,62687,287.6983882424455,275.42211700173516,287.6983882424455,275.42211700173516,svg/microbe_00075.svg,png/microbe_00075.png,masks/body/microbe_00075.png,masks/object/microbe_00075.png
microbe_00076,1991191239,3,0,round,0,none,0,3,waves,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338405877,885.1190640780865,62691,62691,288.6696572407432,274.34523409832696,288.6696572407432,274.34523409832696,svg/microbe_00076.svg,png/microbe_00076.png,masks/body/microbe_00076.png,masks/object/microbe_00076.png
